,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
88,etios liva,2013,3.45,6.05,47000,0,0,0,0
89,etios g,2014,4.75,6.76,40000,0,0,0,0
90,corolla altis,2009,3.8,18.61,62000,0,0,0,0
91,innova,2014,11.25,16.09,58242,1,0,0,0
92,innova,2005,3.51,13.7,75000,0,0,0,0
94,corolla altis,2008,4.0,22.78,89000,0,0,1,0
95,corolla altis,2012,5.85,18.61,72000,0,0,0,0
96,innova,2016,20.75,25.39,29000,1,0,1,0
97,corolla altis,2017,17.0,18.64,8700,0,0,0,0
98,corolla altis,2013,7.05,18.61,45000,0,0,0,0
99,fortuner,2010,9.65,20.45,50024,1,0,0,0
100,Royal Enfield Thunder,2016,1.75,1.9,3000,0,1,0,0
101,UM Renegade Mojave,2017,1.7,1.82,1400,0,1,0,0
102,KTM RC200,2017,1.65,1.78,4000,0,1,0,0
103,Bajaj Dominar 400,2017,1.45,1.6,1200,0,1,0,0
104,Royal Enfield Classic,2017,1.35,1.47,4100,0,1,0,0
105,KTM RC390,2015,1.35,2.37,21700,0,1,0,0
106,Hyosung GT250R,2014,1.35,3.45,16500,0,1,0,1
107,Royal Enfield Thunder,2013,1.25,1.5,15000,0,1,0,0
108,Royal Enfield Thunder,2016,1.2,1.5,18000,0,1,0,0
109,Royal Enfield Classic,2017,1.2,1.47,11000,0,1,0,0
110,KTM RC200,2016,1.2,1.78,6000,0,1,0,0
111,Royal Enfield Thunder,2016,1.15,1.5,8700,0,1,0,0
112,KTM 390 Duke,2014,1.15,2.4,7000,0,1,0,0
113,Mahindra Mojo XT300,2016,1.15,1.4,35000,0,1,0,0
114,Royal Enfield Classic,2015,1.15,1.47,17000,0,1,0,0
115,Royal Enfield Classic,2015,1.11,1.47,17500,0,1,0,0
116,Royal Enfield Classic,2013,1.1,1.47,33000,0,1,0,0
117,Royal Enfield Thunder,2015,1.1,1.9,14000,0,1,0,0
118,Royal Enfield Classic,2015,1.1,1.47,26000,0,1,0,0
119,Royal Enfield Thunder,2013,1.05,1.9,5400,0,1,0,0
120,Bajaj Pulsar RS200,2016,1.05,1.26,5700,0,1,0,0
121,Royal Enfield Thunder,2011,1.05,1.5,6900,0,1,0,0
122,Royal Enfield Bullet,2016,1.05,1.17,6000,0,1,0,0
123,Royal Enfield Classic,2013,1.0,1.47,46500,0,1,0,0
124,Royal Enfield Classic,2012,0.95,1.75,11500,0,1,0,0
125,Royal Enfield Classic,2009,0.9,1.75,40000,0,1,0,0
126,Bajaj Avenger 220,2017,0.9,0.95,1300,0,1,0,0
127,Bajaj Avenger 150,2016,0.75,0.8,7000,0,1,0,0
128,Honda CB Hornet,2017,0.8,0.87,3000,0,1,0,0
129,Yamaha FZ S,2017,0.78,0.84,5000,0,1,0,0
130,Honda CB Hornet,2017,0.75,0.87,11000,0,1,0,0
131,Yamaha FZ 16,2015,0.75,0.82,18000,0,1,0,0
132,Bajaj Avenger 220,2017,0.75,0.95,3500,0,1,0,0
133,Bajaj Avenger 220,2016,0.72,0.95,500,0,1,0,0
134,TVS Apache RTR,2017,0.65,0.81,11800,0,1,0,0
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,0,1,0,0
136,Honda CBR 150,2014,0.65,1.2,23500,0,1,0,0
137,Hero Extreme,2013,0.65,0.787,16000,0,1,0,0
138,Honda CB Hornet,2016,0.6,0.87,15000,0,1,0,0
139,Bajaj Avenger 220,2015,0.6,0.95,16600,0,1,0,0
140,Honda CBR 150,2013,0.6,1.2,32000,0,1,0,0
141,Bajaj Avenger 150,2016,0.6,0.8,20000,0,1,0,0
142,Yamaha FZ ,2015,0.6,0.84,29000,0,1,0,0
